dataset,scene,split,iteration,normal_key,mask_policy,normal_space,absolute_dot,flip_x,flip_y,flip_z,flip_preset,normal_mae_deg,valid_pixel_count,valid_pixel_ratio,frame_count,missing_frame_count,status,notes,diagnostic_only,inference_note
refnerf,coffee,test,30000,surf_normal,auto,camera,False,False,False,True,flip_z,70.0737154006958,2754,0.2754,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,coffee,test,30000,surf_normal,auto,camera,False,False,True,True,flip_yz,128.87101707458496,2754,0.2754,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,coffee,test,30000,surf_normal,auto,world,False,False,False,False,none,10.926228094100953,2754,0.2754,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,coffee,test,30000,surf_normal,auto,world,False,False,True,False,flip_y,74.22353401184083,2754,0.2754,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,coffee,test,30000,surf_normal,auto,world,False,False,False,True,flip_z,70.07371425628662,2754,0.2754,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,coffee,test,30000,surf_normal,auto,world,False,False,True,True,flip_yz,128.87101783752442,2754,0.2754,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,as_saved,False,False,False,False,none,4.539458358287812,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,as_saved,False,False,True,False,flip_y,95.31167945861816,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,as_saved,False,False,False,True,flip_z,48.77743511199951,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,as_saved,False,False,True,True,flip_yz,127.97242736816406,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,camera,False,False,False,False,none,4.539426159858704,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,camera,False,False,True,False,flip_y,95.31168022155762,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,camera,False,False,False,True,flip_z,48.77743377685547,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,camera,False,False,True,True,flip_yz,127.97243118286133,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,world,False,False,False,False,none,4.5394298195838925,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,world,False,False,True,False,flip_y,95.31167964935302,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,world,False,False,False,True,flip_z,48.77743511199951,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,helmet,test,30000,surf_normal,auto,world,False,False,True,True,flip_yz,127.97243003845215,4459,0.4459,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,as_saved,False,False,False,False,none,7.446399891376496,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,as_saved,False,False,True,False,flip_y,80.72748012542725,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,as_saved,False,False,False,True,flip_z,59.11851139068604,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,as_saved,False,False,True,True,flip_yz,119.55779113769532,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,camera,False,False,False,False,none,7.446375894546509,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,camera,False,False,True,False,flip_y,80.72747802734375,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,camera,False,False,False,True,flip_z,59.11851425170899,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,camera,False,False,True,True,flip_yz,119.55779228210449,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,world,False,False,False,False,none,7.44638170003891,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,world,False,False,True,False,flip_y,80.72748203277588,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,world,False,False,False,True,flip_z,59.11851253509521,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,teapot,test,30000,surf_normal,auto,world,False,False,True,True,flip_yz,119.55779647827148,856,0.0856,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,as_saved,False,False,False,False,none,9.82966651916504,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,as_saved,False,False,True,False,flip_y,90.42816314697265,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,as_saved,False,False,False,True,flip_z,34.93842287063599,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,as_saved,False,False,True,True,flip_yz,114.70579681396484,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,camera,False,False,False,False,none,9.829616951942445,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,camera,False,False,True,False,flip_y,90.42815227508545,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,camera,False,False,False,True,flip_z,34.93839778900146,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,camera,False,False,True,True,flip_yz,114.7058012008667,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,world,False,False,False,False,none,9.829612994194031,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,world,False,False,True,False,flip_y,90.42815017700195,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,world,False,False,False,True,flip_z,34.93839330673218,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,toaster,test,30000,surf_normal,auto,world,False,False,True,True,flip_yz,114.70580081939697,4517,0.4517,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,as_saved,False,False,False,False,none,3.705340397357941,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,as_saved,False,False,True,False,flip_y,86.36444931030273,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,as_saved,False,False,False,True,flip_z,52.284663391113284,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,as_saved,False,False,True,True,flip_yz,121.9309326171875,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,31000,surf_normal,auto,camera,False,False,False,False,none,3.7053114652633665,5089,0.5089,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
