dataset,scene,split,iteration,normal_key,mask_policy,normal_space,absolute_dot,flip_x,flip_y,flip_z,flip_preset,normal_mae_deg,valid_pixel_count,valid_pixel_ratio,frame_count,missing_frame_count,status,notes,diagnostic_only
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,False,False,False,False,none,4.290566897392273,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,True,False,False,False,none,3.915929925441742,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,False,False,True,False,flip_y,85.70412788391113,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,True,False,True,False,flip_y,53.787347412109376,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,False,False,False,True,flip_z,52.80206489562988,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,True,False,False,True,flip_z,44.18536529541016,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,False,False,True,True,flip_yz,120.96609191894531,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,camera,True,False,True,True,flip_yz,46.07136764526367,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,False,False,False,False,none,4.290571653842926,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,True,False,False,False,none,3.915934646129608,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,False,False,True,False,flip_y,85.70412826538086,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,True,False,True,False,flip_y,53.787346839904785,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,False,False,False,True,flip_z,52.802066040039065,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,True,False,False,True,flip_z,44.185366249084474,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,False,False,True,True,flip_yz,120.96609230041504,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,world,True,False,True,True,flip_yz,46.071368026733396,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,False,False,False,False,none,4.29059932231903,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,True,False,False,False,none,3.915962314605713,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,False,False,True,False,flip_y,85.70412864685059,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,True,False,True,False,flip_y,53.78734855651855,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,False,False,False,True,flip_z,52.80206699371338,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,True,False,False,True,flip_z,44.18536739349365,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,False,False,True,True,flip_yz,120.96608924865723,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,as_saved,True,False,True,True,flip_yz,46.071370887756345,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,False,False,False,False,none,4.290566897392273,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,True,False,False,False,none,3.915929925441742,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,False,False,True,False,flip_y,85.70412788391113,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,True,False,True,False,flip_y,53.787347412109376,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,False,False,False,True,flip_z,52.80206489562988,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,True,False,False,True,flip_z,44.18536529541016,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,False,False,True,True,flip_yz,120.96609191894531,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,camera,True,False,True,True,flip_yz,46.07136764526367,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,False,False,False,False,none,4.290571653842926,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,True,False,False,False,none,3.915934646129608,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,False,False,True,False,flip_y,85.70412826538086,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,True,False,True,False,flip_y,53.787346839904785,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,False,False,False,True,flip_z,52.802066040039065,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,True,False,False,True,flip_z,44.185366249084474,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,False,False,True,True,flip_yz,120.96609230041504,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_nonzero,world,True,False,True,True,flip_yz,46.071368026733396,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,auto,as_saved,False,False,False,False,none,3.7138319611549377,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,auto,as_saved,True,False,False,False,none,3.614590108394623,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,auto,as_saved,False,False,True,False,flip_y,85.6701889038086,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
